generation;individualId;numIters;numFactors;regularization;learningRate;cumulativeMAE;cumulativeCoverage
1;0;70;97;0.06690268071174228;0.014441922617954198;0.8622014583907143;0.5799607102428033
1;1;256;147;0.0028553892160264127;0.018116190105435775;0.810404807448554;0.8508165188324339
1;2;164;123;0.02384073272522249;0.015394251801679446;0.8495697383202068;0.6937328982882922
1;3;50;186;0.06346246526424329;0.03147390432956205;0.8581875686068997;0.587107976384701
1;4;246;130;0.010362030891064874;0.034754831470211286;0.8273557180282871;0.778469171049529
1;5;256;47;0.009126266363704345;0.03983251728590065;0.8132472006127353;0.806765871399965
1;6;266;102;0.0043325505812595415;0.01078234131433688;0.8076605907634029;0.8421120060486093
1;7;103;62;0.07270407692154073;0.04806157780420558;0.8536685330199644;0.5747109232413119
1;8;117;177;0.061839338311670086;0.001257398633212571;0.83046270815305;0.5782742014601634
1;9;126;48;0.07669389903838945;0.02085511252601948;0.8391840127909431;0.5675372504524273
1;10;145;145;0.16903655570342124;0.04020448106462301;0.8429645219588128;0.48637017835069357
1;11;113;175;0.12598884185551684;0.04450059869263281;0.8426856281398866;0.5165550589023298
1;12;67;106;0.06587114813665443;0.003420532222674787;0.8382092988885438;0.573260755222231
1;13;145;17;0.11333607644846282;0.013421050455521069;0.7174749111836585;0.5273998571068251
1;14;224;187;0.12790687312999952;0.007846205409568513;0.8243280515341235;0.5152707783622562
1;15;114;160;0.13239645645893958;0.0433725067075324;0.8420765785683757;0.5112741033489233
1;16;92;101;0.13265219295568378;0.020671488256215825;0.8212134748175209;0.5110819764593019
1;17;154;154;0.15933981089966504;0.048939306270775994;0.8414729141129793;0.4916778699216172
1;18;227;121;0.21729018957471768;0.04982669247301585;0.8325317583423008;0.4508988747303298
1;19;32;121;0.16600626701352708;0.010364493334739964;0.8171386929434059;0.4908641604255387
1;20;229;131;0.2223587007859137;0.035472696659530976;0.8253105246402329;0.444925903457423
1;21;194;196;0.2065791637994352;0.012421969576080827;0.7893796758188054;0.46563748748529443
1;22;146;97;0.1690363158455212;0.007238198247648898;0.7660534926246111;0.4875803504902626
1;23;86;22;0.18558758145583262;0.032760373951930453;0.7362963116146287;0.47853695999650514
1;24;82;59;0.2356819384103739;0.03966774664925093;0.7883020835395271;0.43217271210375097
1;25;55;89;0.2556598033105233;0.040706943441573655;0.7941329491824282;0.42881139215128955
1;26;28;96;0.33226822847057685;0.034522626809173965;0.7700613502828089;0.42441450555407345
1;27;8;104;0.3323463685186184;0.01678302241152412;0.7801258250312232;0.36135937770143833
1;28;263;17;0.22170791537071188;0.0368691011626482;0.6586038035752928;0.44568455205038804
1;29;239;73;0.19960297602859267;0.0019702231835230896;0.6315320697524055;0.4758467265728784
1;30;70;77;0.303874504224366;0.02358719382098006;0.7438425143377461;0.4284066074524918
1;31;231;71;0.21008096574949084;0.0056699041355207525;0.5803193001798453;0.4635268644949241
1;32;291;3;0.19513615461966585;0.015897481047704543;0.4786247113310413;0.4743315358994368
