generation;individualId;numIters;numFactors;regularization;learningRate;cumulativeMAE;cumulativeCoverage
1;0;287;192;4.858403751827592E-4;0.04646827215127926;0.7942578724823393;0.8842604326718341
1;1;28;155;0.6136445532741309;0.029121969464935973;0.8642615035428651;0.3543206211953259
1;2;75;148;0.011410294930287748;0.023406634978865755;0.8139279895356356;0.7626408853178289
1;3;248;33;0.04305458169210285;0.02311197777337511;0.8394813200175426;0.655335709908226
1;4;42;95;0.08245721294752024;0.02577258178770818;0.8470080813451469;0.5658993861470017
1;5;136;35;0.03484288523433457;0.04424962314120266;0.8325140357368502;0.6841805132596203
1;6;150;127;0.004306253772667125;0.019239093923201687;0.8035385432149104;0.8223533592187865
1;7;275;122;0.1176041282255233;0.010035619869339148;0.8522889409579155;0.5280479194337151
1;8;136;110;0.15032008512088166;0.004077548057294567;0.8554797895676896;0.5026671033907577
1;9;152;67;0.08509444383407046;0.046551113551614155;0.8499438785750335;0.565336965337823
1;10;199;179;0.03188999046462003;0.037558305023981955;0.8353452805424293;0.6725228821215363
1;11;228;109;0.028973167756662286;0.037838228971029855;0.8339484599713354;0.6832622419563497
1;12;100;69;0.006165612864213423;0.03802022393510667;0.8008505207928712;0.8231531354738426
1;13;222;64;0.004833394342826424;0.006511293642442092;0.7929691248886206;0.8277106913594425
1;14;299;164;0.09901709501205834;0.018082944083224577;0.847896821487133;0.547094502669052
1;15;104;161;0.034189864578060704;0.04988277429252633;0.8353292551546906;0.6655329857592307
1;16;142;82;0.15411815363368753;0.005042993766159764;0.8535376170631744;0.4997893476642529
1;17;119;107;0.15610147640694247;0.020616304873699216;0.8540285385436966;0.4973610447016695
1;18;79;174;0.506552001190317;0.047250191093060764;0.8596162227364189;0.35307464839002367
1;19;113;146;0.4188952673835625;0.027422314047811064;0.8563725579778417;0.35416279762501296
1;20;93;116;0.20790289360047656;0.005175025628361783;0.8482838389151646;0.45740877562850785
1;21;243;88;0.10691562948968412;0.04464173150885108;0.8428234100884355;0.5389159628615308
1;22;201;166;0.1688516120536853;0.018372862595876855;0.8471472117704923;0.4905832016962729
1;23;25;111;0.5853435895389986;0.02211229394395411;0.8539011900345688;0.3549637622420161
1;24;170;77;0.17620994057819567;0.04474606471840125;0.8408078295958592;0.48630216418992533
1;25;25;176;0.11136082687846897;0.04119731569996378;0.8361700067424718;0.5342748852274412
1;26;21;82;0.22725509966443874;0.034334923702130565;0.8459353627366306;0.44064198142239885
1;27;290;63;0.19348704113572063;0.01078697223964908;0.8458397366287409;0.47726211887248093
1;28;252;81;0.23370842249077123;0.039242238330202024;0.8375381626885371;0.4342632979358763
1;29;256;111;0.15977439000165125;0.046563641265228224;0.8357171659491645;0.49504047848236193
1;30;39;49;0.24237572622796855;0.03103193561987994;0.8442380799769109;0.4327160121960059
1;31;1;195;0.6556383072989901;0.010561228470928628;0.783010026736063;0.4788872359451487
1;32;116;106;0.2418804217270461;0.04076966213397564;0.8424668973700198;0.4316901633395416
1;33;13;85;0.2154670491458987;0.0012976224435083492;0.772957774263233;0.4769525790150483
1;34;148;91;0.27247492643985916;0.021885226833608887;0.8388475685457358;0.43062669608483867
1;35;15;139;0.30466999015740787;0.02061843052293417;0.837028055732473;0.4315673225853855
1;36;8;166;0.590829604042072;0.0022654765945318714;0.7708582818404762;0.44407811959211985
1;37;264;39;0.2404967657933408;0.022642665577092304;0.8137299751321064;0.43117555750823744
1;38;86;53;0.2840250966998122;0.029881776434847858;0.8303832911631183;0.43037894007032484
1;39;285;145;0.3029722179762202;0.0359058680734495;0.8361992184316215;0.42961704421197666
1;40;113;146;0.4188952673835625;0.027422314047811064;0.8563725579778417;0.35416279762501296
1;41;112;35;0.27924812474412275;0.012652586111704004;0.7783017517773935;0.43041573140209194
1;42;255;127;0.9983587536868231;0.0016268917502318967;0.5811732364043721;0.35315666442816857
1;43;287;192;4.858403751827592E-4;0.04646827215127926;0.7942578724823393;0.8842604326718341
1;44;104;161;0.034189864578060704;0.04988277429252633;0.8353292551546906;0.6655329857592307
1;45;252;81;0.23370842249077123;0.039242238330202024;0.8375381626885371;0.4342632979358763
1;46;28;155;0.6136445532741309;0.029121969464935973;0.8642615035428651;0.3543206211953259
1;47;142;82;0.15411815363368753;0.005042993766159764;0.8535376170631744;0.4997893476642529
1;48;42;95;0.08245721294752024;0.02577258178770818;0.8470080813451469;0.5658993861470017
1;49;170;77;0.17620994057819567;0.04474606471840125;0.8408078295958592;0.48630216418992533
1;50;152;67;0.08509444383407046;0.046551113551614155;0.8499438785750335;0.565336965337823
1;51;93;116;0.20790289360047656;0.005175025628361783;0.8482838389151646;0.45740877562850785
1;52;25;111;0.5853435895389986;0.02211229394395411;0.8539011900345688;0.3549637622420161
1;53;243;88;0.10691562948968412;0.04464173150885108;0.8428234100884355;0.5389159628615308
1;54;13;85;0.2154670491458987;0.0012976224435083492;0.772957774263233;0.4769525790150483
1;55;36;84;0.7887933148100597;0.04468124531083886;0.7303276265408767;0.3529057521351636
1;56;62;94;0.7095429050163645;0.025576053748406852;0.7498579947135816;0.35293183178829
1;57;16;45;0.32179414844933946;0.019007836679039703;0.8203293660356366;0.42731370897241927
1;58;275;122;0.1176041282255233;0.010035619869339148;0.8522889409579155;0.5280479194337151
1;59;227;3;0.4533083672085781;0.04406432817644794;0.3540091504075163;0.35241075767632035
1;60;116;106;0.2418804217270461;0.04076966213397564;0.8424668973700198;0.4316901633395416
1;61;176;63;0.3097836963824187;0.02398880470322619;0.8068000482588238;0.4291429025940096
1;62;299;164;0.09901709501205834;0.018082944083224577;0.847896821487133;0.547094502669052
1;63;21;82;0.22725509966443874;0.034334923702130565;0.8459353627366306;0.44064198142239885
1;64;1;195;0.6556383072989901;0.010561228470928628;0.783010026736063;0.4788872359451487
1;65;150;127;0.004306253772667125;0.019239093923201687;0.8035385432149104;0.8223533592187865
1;66;70;181;0.8764451958035102;0.022838804870911507;0.7832959641562398;0.35294714824191104
1;67;79;174;0.506552001190317;0.047250191093060764;0.8596162227364189;0.35307464839002367
1;68;26;188;0.8940486291558838;0.0038287605523899195;0.8007782279385147;0.3622177659598035
1;69;31;50;0.3472007728886075;0.017226067401585225;0.8247570307470016;0.4249506614695254
1;70;100;69;0.006165612864213423;0.03802022393510667;0.8008505207928712;0.8231531354738426
1;71;86;53;0.2840250966998122;0.029881776434847858;0.8303832911631183;0.43037894007032484
1;72;113;146;0.4188952673835625;0.027422314047811064;0.8563725579778417;0.35416279762501296
1;73;112;35;0.27924812474412275;0.012652586111704004;0.7783017517773935;0.43041573140209194
1;74;248;33;0.04305458169210285;0.02311197777337511;0.8394813200175426;0.655335709908226
1;75;148;91;0.27247492643985916;0.021885226833608887;0.8388475685457358;0.43062669608483867
1;76;284;198;0.7129309932512626;0.0024612205453998755;0.759833496372231;0.3535269012817373
1;77;86;53;0.2840250966998122;0.029881776434847858;0.8303832911631183;0.43037894007032484
1;78;248;33;0.04305458169210285;0.02311197777337511;0.8394813200175426;0.655335709908226
1;79;234;161;0.4983745954872024;0.0014444873929785574;0.8280543898139106;0.35738398873694194
1;80;77;187;0.965353047490869;0.01402330402817854;0.7827293363430945;0.35304251444490664
1;81;148;91;0.27247492643985916;0.021885226833608887;0.8388475685457358;0.43062669608483867
1;82;130;166;0.674285238212298;0.006265043553653779;0.8041142765381502;0.35353383522375564
1;83;75;148;0.011410294930287748;0.023406634978865755;0.8139279895356356;0.7626408853178289
1;84;106;103;0.6481277403432961;0.031147281579861567;0.5790146526714764;0.35265204539892314
1;85;285;145;0.3029722179762202;0.0359058680734495;0.8361992184316215;0.42961704421197666
1;86;121;61;0.3089121962412385;0.04743787874444764;0.8183843156634458;0.4295308364963274
1;87;85;110;0.8842414495304253;0.029921827105716385;0.49438838144089053;0.3525694600279528
1;88;39;49;0.24237572622796855;0.03103193561987994;0.8442380799769109;0.4327160121960059
1;89;256;111;0.15977439000165125;0.046563641265228224;0.8357171659491645;0.49504047848236193
1;90;228;109;0.028973167756662286;0.037838228971029855;0.8339484599713354;0.6832622419563497
1;91;259;61;0.38993716872556144;0.014646005155840261;0.63469594563933;0.35384223669948395
1;92;119;107;0.15610147640694247;0.020616304873699216;0.8540285385436966;0.4973610447016695
1;93;222;64;0.004833394342826424;0.006511293642442092;0.7929691248886206;0.8277106913594425
1;94;8;166;0.590829604042072;0.0022654765945318714;0.7708582818404762;0.44407811959211985
1;95;290;63;0.19348704113572063;0.01078697223964908;0.8458397366287409;0.47726211887248093
1;96;187;181;0.5421520203760286;0.044345178620608744;0.4677932128272656;0.3525126442290602
1;97;130;166;0.674285238212298;0.006265043553653779;0.8041142765381502;0.35353383522375564
1;98;15;139;0.30466999015740787;0.02061843052293417;0.837028055732473;0.4315673225853855
1;99;104;161;0.034189864578060704;0.04988277429252633;0.8353292551546906;0.6655329857592307
2;0;287;192;4.858403751827592E-4;0.04646827215127926;0.7942578724823393;0.8842604326718341
2;1;28;155;0.6136445532741309;0.029121969464935973;0.8642615035428651;0.3543206211953259
2;2;248;33;0.04305458169210285;0.02311197777337511;0.8394813200175426;0.655335709908226
2;3;42;95;0.08245721294752024;0.02577258178770818;0.8470080813451469;0.5658993861470017
2;4;136;35;0.03484288523433457;0.04424962314120266;0.8325140357368502;0.6841805132596203
2;5;75;148;0.011410294930287748;0.023406634978865755;0.8139279895356356;0.7626408853178289
2;6;75;148;0.011410294930287748;0.023406634978865755;0.8139279895356356;0.7626408853178289
2;7;150;127;0.004306253772667125;0.019239093923201687;0.8035385432149104;0.8223533592187865
2;8;287;192;4.858403751827592E-4;0.04646827215127926;0.7942578724823393;0.8842604326718341
2;9;136;110;0.15032008512088166;0.004077548057294567;0.8554797895676896;0.5026671033907577
2;10;275;122;0.1176041282255233;0.010035619869339148;0.8522889409579155;0.5280479194337151
2;11;152;67;0.08509444383407046;0.046551113551614155;0.8499438785750335;0.565336965337823
2;12;199;179;0.03188999046462003;0.037558305023981955;0.8353452805424293;0.6725228821215363
