generation;individualId;numIters;numFactors;regularization;learningRate;recklessness;cumulativeMAE;cumulativeCoverage
1;0;67;19;0.3534069835765188;0.02482212746179996;0.9318742437840528;0.3538973979453929;1.0
1;1;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
1;2;153;102;0.07188526958687244;0.042173201835160115;-0.4983815762721244;0.38015225073143033;0.4543159396836221
1;3;9;103;0.22770886520415842;0.032588308637300036;-0.24471021238486612;0.41169433388150145;0.3558693915221868
1;4;119;182;0.06780506404508582;0.002346524311200247;-0.3579483834331234;0.4018012671397046;0.4489169075035397
1;5;152;65;0.7964119162356675;0.0339097272842045;0.9498968243518304;0.3538973979453929;1.0
1;6;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
1;7;272;130;0.40551490931524625;0.00502331629022406;0.5130280791919988;0.3538973979453929;1.0
1;8;93;168;0.7290002060836283;0.029850817930870934;0.6617777858030518;0.3538973979453929;1.0
1;9;230;16;0.3917952081324404;0.032098175262240014;0.9025960945118046;0.3538973979453929;1.0
1;10;111;5;0.9520894518954045;0.012335670270554457;0.8801263369577843;0.3538973979453929;1.0
1;11;68;50;0.7397911535502276;0.032311447788621654;0.5600484795937426;0.3538973979453929;1.0
1;12;107;62;0.5280263777176628;0.041870705576419254;0.6438771458903927;0.3538973979453929;1.0
1;13;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
1;14;268;128;0.7137979286387288;0.026850504387522626;0.7080323748324278;0.3538973979453929;1.0
1;15;8;27;0.09976504985760255;0.03285789985333115;-0.21175777922129568;0.36700193106500306;0.432238419880036
1;16;148;185;0.29001378252128285;0.02622431359335601;-0.13646135497256018;0.38889583389679777;0.3525331817903144
1;17;5;59;0.4422827212074748;0.03871418526222434;0.44869123925315413;0.3538968036040173;0.9999989650646601
1;18;10;69;0.23179159838631652;0.0304769572695345;-0.5236128317320334;0.35693658205028067;0.3669429942284775
1;19;24;134;0.40970210374779714;0.038972335180284805;-0.04542701942302774;0.3831769438534632;0.3525325702459039
1;20;83;106;0.42462729799854776;0.011857548029706278;0.47762028815105895;0.35389396126235784;0.9999967436133443
1;21;119;165;0.38500890095430396;0.004391807478451337;-0.2714664295641327;0.36675848135736094;0.3525000273110282
1;22;60;113;0.18666494175280465;0.03494694198127258;-0.3422169167105673;0.3557074300396685;0.3531985191409753
1;23;206;70;0.9041635239675739;0.0016482593111230982;0.7173846375981698;0.3538592379016633;0.9998933704359935
1;24;129;4;0.033055900511338235;0.009299677335836538;0.3073450545374905;0.3537584521170231;0.9997874726337207
1;25;25;44;0.0394830172672755;0.02573590576021685;0.12013125529470825;0.3188551110495138;0.943701390644244
1;26;62;140;0.24724681759797767;0.01768641928043133;0.0233618945594829;0.3429057360443689;0.4416809194867911
1;27;99;185;0.059899174018414096;0.015490206024956273;-0.036975431210827914;0.2935093266734333;0.5570644634607762
1;28;81;148;0.023503579521007817;0.04963970057314202;0.08389274145526948;0.29349790520086255;0.9037059222098034
1;29;167;95;0.24545145313312972;0.03296515524232766;-0.11356555695049608;0.33684465326576624;0.4253291312838843
1;30;222;151;0.17712707146717405;0.02679600049249877;-0.31988342690652116;0.33868834962374744;0.355057595757209
1;31;158;151;3.6297092225644683E-4;0.04346456984826205;-0.18156823908384956;0.2862906364941233;0.8155174952113503
1;32;257;137;0.25545243973038567;0.007122692233308845;-0.3615454548213317;0.31642542703951887;0.35242667243333275
1;33;6;138;0.9201881015278097;0.043038085353836415;0.47352173691512145;0.288043361245069;0.5829491592705915
1;34;147;178;0.913797168705113;0.017313687807161613;0.49028794894369954;0.3381954850776742;0.3524115874712418
1;35;115;176;0.6323806078062608;0.010517849299411675;0.41340853828185664;0.28333915832173806;0.5936517787589372
1;36;285;120;0.18835338390560852;0.012460645372571563;0.022427445285665426;0.2857389173234631;0.48917737946475304
1;37;12;75;0.13411740049139473;0.002877925939188725;-0.45049537148546714;0.28116042067105107;0.41330114183950817
1;38;45;69;0.4658900564603822;0.00407247438432708;-0.9660953714258178;0.19875321908466578;0.39256521004703004
1;39;1;29;0.5524234158476263;0.03133635494591618;-0.4032936584053106;0.2715796882598422;0.36346842724271455
1;40;24;134;0.40970210374779714;0.038972335180284805;-0.04542701942302774;0.3831769438534632;0.3525325702459039
1;41;233;141;0.7181003684489713;0.01929197772629145;-0.6036564769791815;0.09370237532537078;0.35238387946667216
1;42;192;149;0.6631034486806087;0.04535524756157906;-0.7228057972482818;0.14914552430180494;0.35238588661187553
1;43;167;95;0.24545145313312972;0.03296515524232766;-0.11356555695049608;0.33684465326576624;0.4253291312838843
1;44;235;165;0.6164907471788651;0.04375347724268583;-0.02037209942005558;0.06360579764822358;0.3523812869055068
1;45;6;138;0.9201881015278097;0.043038085353836415;0.47352173691512145;0.288043361245069;0.5829491592705915
1;46;257;137;0.25545243973038567;0.007122692233308845;-0.3615454548213317;0.31642542703951887;0.35242667243333275
1;47;99;185;0.059899174018414096;0.015490206024956273;-0.036975431210827914;0.2935093266734333;0.5570644634607762
1;48;115;176;0.6323806078062608;0.010517849299411675;0.41340853828185664;0.28333915832173806;0.5936517787589372
1;49;25;44;0.0394830172672755;0.02573590576021685;0.12013125529470825;0.3188551110495138;0.943701390644244
1;50;77;134;0.6380126809040646;0.023081630851373783;-0.7870355529270812;0.16669722870351583;0.35239831627728374
1;51;83;106;0.42462729799854776;0.011857548029706278;0.47762028815105895;0.35389396126235784;0.9999967436133443
1;52;12;75;0.13411740049139473;0.002877925939188725;-0.45049537148546714;0.28116042067105107;0.41330114183950817
1;53;97;128;0.777337731860998;0.035253987900219434;-0.622223027284742;0.13511361186637463;0.35238725606809806
1;54;81;148;0.023503579521007817;0.04963970057314202;0.08389274145526948;0.29349790520086255;0.9037059222098034
1;55;10;69;0.23179159838631652;0.0304769572695345;-0.5236128317320334;0.35693658205028067;0.3669429942284775
1;56;65;148;0.5384581392945638;0.04381327446135174;-0.5334481056714941;0.20460595941531246;0.35239888078508824
1;57;214;102;0.32894918892010144;0.0030866675658714807;-0.708175911766084;0.24304477054772447;0.3545372011826155
1;58;111;5;0.9520894518954045;0.012335670270554457;0.8801263369577843;0.3538973979453929;1.0
1;59;91;65;0.7772826546743993;0.03090649486114938;0.0462266680605532;0.11658282202681199;0.3523854161870078
1;60;230;16;0.3917952081324404;0.032098175262240014;0.9025960945118046;0.3538973979453929;1.0
1;61;146;76;0.5010457988150276;0.04740611531787241;0.07282765516721268;0.1418895951421993;0.3523968318215903
1;62;268;128;0.7137979286387288;0.026850504387522626;0.7080323748324278;0.3538973979453929;1.0
1;63;167;95;0.24545145313312972;0.03296515524232766;-0.11356555695049608;0.33684465326576624;0.4253291312838843
1;64;247;3;0.23406851014757668;0.015576163296807468;0.927901252035656;0.0;0.0
1;65;279;193;0.6747200894484154;0.020746339683960714;-0.6689870989969973;0.10974143134569361;0.35238466350859643
1;66;11;81;0.8460948127905646;0.04261299387128186;-0.9010677998173482;0.20847841753589286;0.35244041406268645
1;67;152;65;0.7964119162356675;0.0035875003904560334;0.9498968243518304;0.3538973979453929;1.0
1;68;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
1;69;152;65;0.7964119162356675;0.0339097272842045;0.9498968243518304;0.3538973979453929;1.0
1;70;129;4;0.033055900511338235;0.009299677335836538;0.3073450545374905;0.3537584521170231;0.9997874726337207
1;71;116;146;0.6012607370231232;0.041356423565122764;-0.7661696055550478;0.13727941385778403;0.35238940956767917
1;72;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
1;73;62;140;0.24724681759797767;0.01768641928043133;0.7683068711385512;0.0;0.0
1;74;151;183;0.6887480503913007;0.005394412932751314;-0.5593544120436562;0.20572481087079134;0.3524061671428743
1;75;280;70;0.9180292498692121;0.026159383031352988;-0.8685746017489098;0.07078430791640153;0.3523817886923383
1;76;153;102;0.07188526958687244;0.042173201835160115;-0.4983815762721244;0.38015225073143033;0.4543159396836221
1;77;230;16;0.3917952081324404;0.032098175262240014;0.9025960945118046;0.3538973979453929;1.0
1;78;107;62;0.5280263777176628;0.041870705576419254;0.6438771458903927;0.3538973979453929;1.0
1;79;8;27;0.09976504985760255;0.03285789985333115;-0.21175777922129568;0.36700193106500306;0.432238419880036
1;80;206;70;0.9041635239675739;0.0016482593111230982;0.7173846375981698;0.3538592379016633;0.9998933704359935
1;81;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
1;82;148;185;0.29001378252128285;0.02622431359335601;-0.13646135497256018;0.38889583389679777;0.3525331817903144
1;83;117;135;0.7097421716944586;0.022918101125072088;-0.5711964243083292;0.1383384787472634;0.35238916912815565
1;84;60;67;0.8924001505728559;0.021749422887996157;0.08759433043389575;0.165907905539397;0.35239135921902787
1;85;219;48;0.9915002529972282;0.008525097866730846;-0.13691167564225104;0.09851091299078694;0.352383294049161
1;86;158;151;3.6297092225644683E-4;0.04346456984826205;-0.18156823908384956;0.2862906364941233;0.8155174952113503
1;87;119;182;0.06780506404508582;0.002346524311200247;-0.3579483834331234;0.4018012671397046;0.4489169075035397
1;88;60;113;0.18666494175280465;0.03494694198127258;-0.3422169167105673;0.3557074300396685;0.3531985191409753
1;89;285;120;0.18835338390560852;0.012460645372571563;0.022427445285665426;0.2857389173234631;0.48917737946475304
1;90;67;19;0.3534069835765188;0.02482212746179996;0.9318742437840528;0.3538973979453929;1.0
1;91;155;70;0.9241997668902955;0.020236230553965874;-0.3305339093111952;0.09857101951294875;0.352383294049161
1;92;45;69;0.4658900564603822;0.00407247438432708;-0.9660953714258178;0.19875321908466578;0.39256521004703004
1;93;9;103;0.22770886520415842;0.032588308637300036;-0.24471021238486612;0.41169433388150145;0.3558693915221868
1;94;5;59;0.4422827212074748;0.03871418526222434;0.44869123925315413;0.3538968036040173;0.9999989650646601
1;95;9;122;0.538414628223622;0.007479703735774777;-0.8731954599497618;0.20968363738434798;0.3675131905363055
1;96;176;113;0.677752370677956;0.04115227782838006;0.9037070692020281;0.14171103037221605;0.4
1;97;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
1;98;233;141;0.7181003684489713;0.01929197772629145;-0.6036564769791815;0.09370237532537078;0.35238387946667216
1;99;121;71;0.8829498094889694;0.040221755606416054;-0.46195059264630256;0.09787062153051919;0.3523830431571222
2;0;67;19;0.3534069835765188;0.02482212746179996;0.9318742437840528;0.3538973979453929;1.0
2;1;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
2;2;9;103;0.22770886520415842;0.032588308637300036;-0.24471021238486612;0.41169433388150145;0.3558693915221868
2;3;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
2;4;153;102;0.07188526958687244;0.042173201835160115;-0.4983815762721244;0.38015225073143033;0.4543159396836221
2;5;119;182;0.06780506404508582;0.002346524311200247;-0.3579483834331234;0.4018012671397046;0.4489169075035397
2;6;153;102;0.07188526958687244;0.042173201835160115;-0.4983815762721244;0.38015225073143033;0.4543159396836221
2;7;119;182;0.06780506404508582;0.002346524311200247;-0.3579483834331234;0.4018012671397046;0.4489169075035397
2;8;9;103;0.22770886520415842;0.032588308637300036;-0.24471021238486612;0.41169433388150145;0.3558693915221868
2;9;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
2;10;152;65;0.7964119162356675;0.0339097272842045;0.9498968243518304;0.3538973979453929;1.0
2;11;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
2;12;272;130;0.40551490931524625;0.00502331629022406;0.5130280791919988;0.3538973979453929;1.0
2;13;93;168;0.7290002060836283;0.029850817930870934;0.6617777858030518;0.3538973979453929;1.0
2;14;230;16;0.3917952081324404;0.032098175262240014;0.9025960945118046;0.3538973979453929;1.0
2;15;111;5;0.9520894518954045;0.012335670270554457;0.8801263369577843;0.3538973979453929;1.0
2;16;68;50;0.7397911535502276;0.032311447788621654;0.5600484795937426;0.3538973979453929;1.0
2;17;107;62;0.5280263777176628;0.041870705576419254;0.6438771458903927;0.3538973979453929;1.0
2;18;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
2;19;268;128;0.7137979286387288;0.026850504387522626;0.7080323748324278;0.3538973979453929;1.0
2;20;111;5;0.9520894518954045;0.012335670270554457;0.8801263369577843;0.3538973979453929;1.0
2;21;230;16;0.3917952081324404;0.032098175262240014;0.9025960945118046;0.3538973979453929;1.0
2;22;268;128;0.7137979286387288;0.026850504387522626;0.7080323748324278;0.3538973979453929;1.0
2;23;152;65;0.7964119162356675;0.0035875003904560334;0.9498968243518304;0.3538973979453929;1.0
2;24;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
2;25;152;65;0.7964119162356675;0.0339097272842045;0.9498968243518304;0.3538973979453929;1.0
2;26;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
2;27;230;16;0.3917952081324404;0.032098175262240014;0.9025960945118046;0.3538973979453929;1.0
2;28;107;62;0.5280263777176628;0.041870705576419254;0.6438771458903927;0.3538973979453929;1.0
2;29;67;19;0.3534069835765188;0.02482212746179996;0.9318742437840528;0.3538973979453929;1.0
2;30;8;27;0.09976504985760255;0.03285789985333115;-0.21175777922129568;0.36700193106500306;0.432238419880036
2;31;148;185;0.29001378252128285;0.02622431359335601;-0.13646135497256018;0.38889583389679777;0.3525331817903144
2;32;148;185;0.29001378252128285;0.02622431359335601;-0.13646135497256018;0.38889583389679777;0.3525331817903144
2;33;8;27;0.09976504985760255;0.03285789985333115;-0.21175777922129568;0.36700193106500306;0.432238419880036
2;34;5;59;0.4422827212074748;0.03871418526222434;0.44869123925315413;0.3538968036040173;0.9999989650646601
2;35;5;59;0.4422827212074748;0.03871418526222434;0.44869123925315413;0.3538968036040173;0.9999989650646601
2;36;10;69;0.23179159838631652;0.0304769572695345;-0.5236128317320334;0.35693658205028067;0.3669429942284775
2;37;24;134;0.40970210374779714;0.038972335180284805;-0.04542701942302774;0.3831769438534632;0.3525325702459039
2;38;24;134;0.40970210374779714;0.038972335180284805;-0.04542701942302774;0.3831769438534632;0.3525325702459039
2;39;10;69;0.23179159838631652;0.0304769572695345;-0.5236128317320334;0.35693658205028067;0.3669429942284775
2;40;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
2;41;119;182;0.06780506404508582;0.002346524311200247;-0.3579483834331234;0.4018012671397046;0.4489169075035397
2;42;152;65;0.7964119162356675;0.0339097272842045;0.9498968243518304;0.3538973979453929;1.0
2;43;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
2;44;10;69;0.23179159838631652;0.0304769572695345;-0.5236128317320334;0.35693658205028067;0.3669429942284775
2;45;83;106;0.42462729799854776;0.011857548029706278;0.47762028815105895;0.35389396126235784;0.9999967436133443
2;46;129;4;0.033055900511338235;0.009299677335836538;0.3073450545374905;0.3537584521170231;0.9997874726337207
2;47;62;140;0.24724681759797767;0.01768641928043133;0.0233618945594829;0.3429057360443689;0.4416809194867911
2;48;81;148;0.023503579521007817;0.04963970057314202;0.08389274145526948;0.29349790520086255;0.9037059222098034
2;49;222;151;0.17712707146717405;0.02679600049249877;-0.31988342690652116;0.33868834962374744;0.355057595757209
2;50;6;138;0.9201881015278097;0.043038085353836415;0.47352173691512145;0.288043361245069;0.5829491592705915
2;51;147;178;0.913797168705113;0.017313687807161613;0.49028794894369954;0.3381954850776742;0.3524115874712418
2;52;1;29;0.5524234158476263;0.03133635494591618;-0.4032936584053106;0.2715796882598422;0.36346842724271455
2;53;24;134;0.40970210374779714;0.038972335180284805;-0.04542701942302774;0.3831769438534632;0.3525325702459039
2;54;167;95;0.24545145313312972;0.03296515524232766;-0.11356555695049608;0.33684465326576624;0.4253291312838843
2;55;99;185;0.059899174018414096;0.015490206024956273;-0.036975431210827914;0.2935093266734333;0.5570644634607762
2;56;25;44;0.0394830172672755;0.02573590576021685;0.12013125529470825;0.3188551110495138;0.943701390644244
2;57;12;75;0.13411740049139473;0.002877925939188725;-0.45049537148546714;0.28116042067105107;0.41330114183950817
2;58;214;102;0.32894918892010144;0.0030866675658714807;-0.708175911766084;0.24304477054772447;0.3545372011826155
2;59;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
2;60;279;193;0.6747200894484154;0.020746339683960714;-0.6689870989969973;0.10974143134569361;0.35238466350859643
2;61;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
2;62;129;4;0.033055900511338235;0.009299677335836538;0.3073450545374905;0.3537584521170231;0.9997874726337207
2;63;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
2;64;151;183;0.6887480503913007;0.005394412932751314;-0.5593544120436562;0.20572481087079134;0.3524061671428743
2;65;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
2;66;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
2;67;60;67;0.8924001505728559;0.021749422887996157;0.08759433043389575;0.165907905539397;0.35239135921902787
2;68;119;182;0.06780506404508582;0.002346524311200247;-0.3579483834331234;0.4018012671397046;0.4489169075035397
2;69;93;168;0.7290002060836283;0.029850817930870934;0.6617777858030518;0.3538973979453929;1.0
2;70;5;59;0.4422827212074748;0.03871418526222434;0.44869123925315413;0.3538968036040173;0.9999989650646601
2;71;233;141;0.7181003684489713;0.01929197772629145;-0.6036564769791815;0.09370237532537078;0.35238387946667216
2;72;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
2;73;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
2;74;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
2;75;148;185;0.29001378252128285;0.02622431359335601;-0.13646135497256018;0.38889583389679777;0.3525331817903144
2;76;119;165;0.38500890095430396;0.004391807478451337;-0.2714664295641327;0.36675848135736094;0.3525000273110282
2;77;9;103;0.22770886520415842;0.032588308637300036;-0.24471021238486612;0.41169433388150145;0.3558693915221868
2;78;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
2;79;111;5;0.9520894518954045;0.012335670270554457;0.8801263369577843;0.3538973979453929;1.0
2;80;272;130;0.40551490931524625;0.00502331629022406;0.5130280791919988;0.3538973979453929;1.0
2;81;148;185;0.29001378252128285;0.02622431359335601;-0.13646135497256018;0.38889583389679777;0.3525331817903144
2;82;60;113;0.18666494175280465;0.03494694198127258;-0.3422169167105673;0.3557074300396685;0.3531985191409753
2;83;285;120;0.18835338390560852;0.012460645372571563;0.022427445285665426;0.2857389173234631;0.48917737946475304
2;84;6;138;0.9201881015278097;0.043038085353836415;0.47352173691512145;0.288043361245069;0.5829491592705915
2;85;83;106;0.42462729799854776;0.011857548029706278;0.47762028815105895;0.35389396126235784;0.9999967436133443
2;86;10;69;0.23179159838631652;0.0304769572695345;-0.5236128317320334;0.35693658205028067;0.3669429942284775
2;87;268;128;0.7137979286387288;0.026850504387522626;0.7080323748324278;0.3538973979453929;1.0
2;88;93;168;0.7290002060836283;0.029850817930870934;0.6617777858030518;0.3538973979453929;1.0
2;89;67;19;0.3534069835765188;0.02482212746179996;0.9318742437840528;0.3538973979453929;1.0
2;90;153;102;0.07188526958687244;0.042173201835160115;-0.4983815762721244;0.38015225073143033;0.4543159396836221
2;91;148;185;0.29001378252128285;0.02622431359335601;-0.13646135497256018;0.38889583389679777;0.3525331817903144
2;92;60;113;0.18666494175280465;0.03302432528269202;-0.3422169167105673;0.35676008895198064;0.35312892241674343
2;93;9;103;0.22770886520415842;0.032588308637300036;-0.24471021238486612;0.41169433388150145;0.3558693915221868
2;94;111;5;0.9520894518954045;0.012335670270554457;0.8801263369577843;0.3538973979453929;1.0
2;95;9;103;0.22770886520415842;0.032588308637300036;-0.24471021238486612;0.41169433388150145;0.3558693915221868
2;96;152;65;0.7964119162356675;0.0035875003904560334;0.9498968243518304;0.3538973979453929;1.0
2;97;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
2;98;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
2;99;10;69;0.23179159838631652;0.0304769572695345;-0.5236128317320334;0.35693658205028067;0.3669429942284775
3;0;67;19;0.3534069835765188;0.02482212746179996;0.9318742437840528;0.3538973979453929;1.0
3;1;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
3;2;9;103;0.22770886520415842;0.032588308637300036;-0.24471021238486612;0.41169433388150145;0.3558693915221868
3;3;153;102;0.07188526958687244;0.042173201835160115;-0.4983815762721244;0.38015225073143033;0.4543159396836221
3;4;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
3;5;119;182;0.06780506404508582;0.002346524311200247;-0.3579483834331234;0.4018012671397046;0.4489169075035397
3;6;153;102;0.07188526958687244;0.042173201835160115;-0.4983815762721244;0.38015225073143033;0.4543159396836221
3;7;119;182;0.06780506404508582;0.002346524311200247;-0.3579483834331234;0.4018012671397046;0.4489169075035397
3;8;9;103;0.22770886520415842;0.032588308637300036;-0.24471021238486612;0.41169433388150145;0.3558693915221868
3;9;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
3;10;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
3;11;153;102;0.07188526958687244;0.042173201835160115;-0.4983815762721244;0.38015225073143033;0.4543159396836221
3;12;119;182;0.06780506404508582;0.002346524311200247;-0.3579483834331234;0.4018012671397046;0.4489169075035397
3;13;9;103;0.22770886520415842;0.032588308637300036;-0.24471021238486612;0.41169433388150145;0.3558693915221868
3;14;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
3;15;152;65;0.7964119162356675;0.0339097272842045;0.9498968243518304;0.3538973979453929;1.0
3;16;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
3;17;272;130;0.40551490931524625;0.00502331629022406;0.5130280791919988;0.3538973979453929;1.0
3;18;93;168;0.7290002060836283;0.029850817930870934;0.6617777858030518;0.3538973979453929;1.0
3;19;230;16;0.3917952081324404;0.032098175262240014;0.9025960945118046;0.3538973979453929;1.0
3;20;111;5;0.9520894518954045;0.012335670270554457;0.8801263369577843;0.3538973979453929;1.0
3;21;68;50;0.7397911535502276;0.032311447788621654;0.5600484795937426;0.3538973979453929;1.0
3;22;107;62;0.5280263777176628;0.041870705576419254;0.6438771458903927;0.3538973979453929;1.0
3;23;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
3;24;268;128;0.7137979286387288;0.026850504387522626;0.7080323748324278;0.3538973979453929;1.0
3;25;111;5;0.9520894518954045;0.012335670270554457;0.8801263369577843;0.3538973979453929;1.0
3;26;230;16;0.3917952081324404;0.032098175262240014;0.9025960945118046;0.3538973979453929;1.0
3;27;268;128;0.7137979286387288;0.026850504387522626;0.7080323748324278;0.3538973979453929;1.0
3;28;152;65;0.7964119162356675;0.0035875003904560334;0.9498968243518304;0.3538973979453929;1.0
3;29;12;14;0.22046515093768582;0.01658501986693224;0.8207578612708804;0.3538973979453929;1.0
3;30;152;65;0.7964119162356675;0.0339097272842045;0.9498968243518304;0.3538973979453929;1.0
3;31;28;40;0.6432476404936264;0.044048055405830164;0.6453385872256028;0.3538973979453929;1.0
3;32;230;16;0.3917952081324404;0.032098175262240014;0.9025960945118046;0.3538973979453929;1.0
3;33;107;62;0.5280263777176628;0.041870705576419254;0.6438771458903927;0.3538973979453929;1.0
3;34;67;19;0.3534069835765188;0.02482212746179996;0.9318742437840528;0.3538973979453929;1.0
3;35;114;150;0.9436095377998279;0.00717258952879851;0.5795405064982482;0.4307978857749932;0.3528831725121261
3;36;119;182;0.06780506404508582;0.002346524311200247;-0.3579483834331234;0.4018012671397046;0.4489169075035397
