generation;individualId;numIters;numFactors;regularization;learningRate;cumulativeMAE;cumulativeCoverage
1;0;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
1;1;219;194;0.328088931494909;0.043073008318449374;0.27922596484172885;0.2809764272962437
1;2;227;117;0.07057196617927074;0.03736485917688014;0.25109370560080835;0.49902342696833896
1;3;257;119;0.1601233857309376;0.024553663185640482;0.26293278409053955;0.3979683025467263
1;4;253;148;0.08220028486928649;0.038069187940203975;0.25434005274092997;0.4829203920282727
1;5;75;172;0.43359771699859384;0.04413716052948945;0.26320475148787414;0.28254978686195215
1;6;129;4;0.033055900511338235;0.009299677335836538;0.20828159462884507;0.54048996247313
1;7;176;87;0.06535397287709802;0.037117484454576334;0.23664317759536369;0.5055069042153969
1;8;116;193;0.40538691602041094;0.04922844901105172;0.26446571562533083;0.2795568185958393
1;9;167;95;0.24545145313312972;0.03296515524232766;0.25601859263274485;0.34412008598389626
1;10;62;153;0.31011691544409853;0.043508006537622684;0.2613677493473595;0.2946656465187452
1;11;80;164;0.1536219475949232;0.046088825857448425;0.25432482063245365;0.40523612780996104
1;12;237;111;0.16589075738119152;0.019537460950638838;0.25127054157171685;0.3920463438627172
1;13;213;121;0.07494442735839334;0.018131268227708684;0.2280956827634768;0.4872784639487011
1;14;75;158;0.06328332860619071;0.022795304652432295;0.22231084884403646;0.5023658687652566
1;15;94;151;0.35363681943123804;0.02863440989209011;0.25430407531720134;0.28665602798120016
1;16;262;35;0.14774933104980925;0.025904833902045933;0.22122418389624965;0.4028456297591722
1;17;173;108;0.2957889184561995;0.02459410193533472;0.24596469333724658;0.29785827230662726
1;18;40;130;0.07312423620466266;0.03368767837577456;0.21771216008628164;0.48553109629467706
1;19;147;57;0.2517539254945679;0.04816401413001954;0.23585685800467088;0.3391853390170146
1;20;153;125;0.36549844030635825;0.043683231580439394;0.2501373888778085;0.2778633730462346
1;21;289;126;0.0891879396861079;0.008142408143763248;0.21520335457540024;0.46267730535213314
1;22;53;132;0.2748248390258407;0.0315940278346822;0.23003893050748045;0.3198335701533865
1;23;136;135;0.38396519711964233;0.016429135826002306;0.2392232339262788;0.2844561518563048
1;24;157;124;0.3755012973956497;0.023380994312709704;0.24434477670025032;0.280530768389988
1;25;51;152;0.3088486079692294;0.029195709104282496;0.23448232258428758;0.30052071264619085
1;26;81;109;0.07173198105945867;0.017283329652228518;0.21313813302343193;0.48311553175210403
1;27;46;123;0.07396311826176166;0.02135627098765495;0.2103721476838356;0.47871942288774727
1;28;174;85;0.29224620516130373;0.011362638818473735;0.21400005229788924;0.2937443072102598
1;29;10;171;0.8996508632944047;0.045765074762947534;0.2155036438843676;0.2913664881407804
1;30;108;156;0.5647717484649403;0.015628041593125096;0.216452088584918;0.28070127882828727
1;31;19;97;0.1259550538164432;0.022612609903529004;0.18887969903400229;0.40993361751739715
1;32;18;89;0.19432239825472927;0.03562850918790549;0.19445571188703914;0.3665360877327212
1;33;288;39;0.13655119731348214;0.009795918226958144;0.19091163542466366;0.40668867271468645
1;34;272;136;0.5135054508785684;0.004219922257151711;0.20388492337666114;0.2835661456625497
1;35;31;187;0.924145934915583;0.024356388572194992;0.21346947727585702;0.2827108244981237
1;36;87;98;0.42567972058058007;0.02878475787862276;0.21433591275738043;0.28003905709184973
1;37;106;52;0.19826401730555587;0.02107251033467553;0.19354264904589863;0.36039333989142713
1;38;242;115;0.45681352663779135;0.015591818549893232;0.20587204923949862;0.2761914963383976
1;39;292;18;0.20086574496416965;0.04197638937559141;0.11820332815454364;0.3646654279156192
1;40;106;52;0.19826401730555587;0.02107251033467553;0.19354264904589863;0.36039333989142713
1;41;213;121;0.07494442735839334;0.018131268227708684;0.2280956827634768;0.4872784639487011
1;42;46;123;0.07396311826176166;0.02135627098765495;0.2103721476838356;0.47871942288774727
1;43;253;148;0.08220028486928649;0.038069187940203975;0.25434005274092997;0.4829203920282727
1;44;62;153;0.31011691544409853;0.043508006537622684;0.2613677493473595;0.2946656465187452
1;45;176;87;0.06535397287709802;0.037117484454576334;0.23664317759536369;0.5055069042153969
1;46;136;135;0.38396519711964233;0.016429135826002306;0.2392232339262788;0.2844561518563048
1;47;271;160;0.5116421646202197;0.026398282292220156;0.12285429082930384;0.2727506831347688
1;48;157;124;0.3755012973956497;0.023380994312709704;0.24434477670025032;0.280530768389988
1;49;116;193;0.40538691602041094;0.04922844901105172;0.26446571562533083;0.2795568185958393
1;50;121;195;0.04279084975107677;0.024484536652798504;0.23723674532754777;0.5465400225889897
1;51;173;108;0.2957889184561995;0.02459410193533472;0.24596469333724658;0.29785827230662726
1;52;289;126;0.0891879396861079;0.008142408143763248;0.21520335457540024;0.46267730535213314
1;53;232;14;0.35191175054210716;0.04545740499679301;0.08801568559701083;0.2740124603781834
1;54;81;22;0.701127733844482;0.015207196063149176;0.08467159732519007;0.2720055379458593
1;55;10;171;0.8996508632944047;0.045765074762947534;0.2155036438843676;0.2913664881407804
1;56;153;125;0.36549844030635825;0.043683231580439394;0.2501373888778085;0.2778633730462346
1;57;87;98;0.42567972058058007;0.02878475787862276;0.21433591275738043;0.28003905709184973
1;58;2;21;0.4316010077626566;0.014724959110725615;0.08084476911036029;0.29989332167449995
